,length_url,length_domain,ip_address,number_of_hyphens,number_of_dots,number_of_dollar_sign,length_path
263,141.0,11.0,0.0,8.0,4.0,0.0,16.0
264,87.0,14.0,0.0,4.0,2.0,0.0,1.0
265,23.0,20.0,0.0,3.0,1.0,0.0,11.0
266,36.0,15.0,0.0,4.0,1.0,0.0,35.0
267,62.0,13.0,0.0,3.0,3.0,0.0,7.0
268,76.0,20.0,0.0,4.0,2.0,0.0,183.0
269,241.0,19.0,0.0,6.0,4.0,0.0,19.0
270,44.0,16.0,0.0,7.0,2.0,0.0,22.0
271,20.0,28.0,0.0,3.0,3.0,0.0,38.0
272,59.0,30.0,0.0,4.0,8.0,0.0,11.0
273,78.0,20.0,0.0,4.0,1.0,0.0,57.0
274,80.0,29.0,0.0,8.0,1.0,0.0,1.0
275,55.0,17.0,0.0,6.0,3.0,0.0,12.0
276,47.0,15.0,0.0,5.0,2.0,0.0,39.0
277,28.0,13.0,0.0,4.0,1.0,0.0,10.0
278,89.0,15.0,0.0,6.0,4.0,0.0,37.0
279,84.0,16.0,0.0,5.0,3.0,0.0,60.0
280,70.0,16.0,0.0,5.0,2.0,0.0,30.0
281,77.0,9.0,0.0,4.0,3.0,0.0,0.0
282,33.0,24.0,0.0,3.0,3.0,0.0,39.0
283,244.0,79.0,0.0,6.0,7.0,0.0,28.0
284,71.0,17.0,0.0,7.0,3.0,0.0,19.0
285,40.0,6.0,0.0,3.0,3.0,0.0,5.0
286,38.0,12.0,0.0,3.0,1.0,0.0,6.0
287,25.0,30.0,0.0,3.0,3.0,0.0,7.0
288,49.0,16.0,0.0,5.0,2.0,0.0,102.0
289,48.0,10.0,0.0,4.0,2.0,0.0,33.0
290,46.0,6.0,0.0,6.0,1.0,0.0,7.0
291,55.0,17.0,0.0,6.0,2.0,0.0,14.0
292,70.0,7.0,0.0,4.0,3.0,0.0,20.0
293,44.0,8.0,0.0,5.0,2.0,0.0,8.0
294,34.0,15.0,0.0,2.0,1.0,0.0,7.0
295,57.0,11.0,0.0,6.0,2.0,0.0,32.0
296,27.0,16.0,0.0,4.0,1.0,0.0,101.0
297,39.0,22.0,0.0,4.0,1.0,0.0,6.0
298,28.0,20.0,0.0,3.0,2.0,0.0,18.0
299,76.0,20.0,0.0,4.0,3.0,0.0,52.0
300,78.0,11.0,0.0,8.0,1.0,0.0,1.0
301,21.0,14.0,0.0,3.0,1.0,0.0,24.0
302,61.0,38.0,0.0,3.0,3.0,0.0,55.0
303,38.0,18.0,0.0,4.0,2.0,0.0,47.0
304,44.0,12.0,0.0,5.0,2.0,0.0,188.0
305,51.0,24.0,0.0,4.0,4.0,0.0,1.0
306,44.0,21.0,0.0,4.0,1.0,0.0,1.0
307,43.0,15.0,0.0,4.0,2.0,0.0,184.0
308,41.0,14.0,1.0,4.0,2.0,0.0,9.0
309,76.0,13.0,1.0,7.0,3.0,0.0,9.0
310,114.0,21.0,0.0,8.0,2.0,0.0,1.0
311,28.0,10.0,0.0,4.0,1.0,0.0,18.0
312,52.0,14.0,0.0,5.0,2.0,0.0,0.0
313,118.0,19.0,0.0,6.0,2.0,0.0,12.0
314,44.0,11.0,0.0,5.0,2.0,0.0,22.0
315,134.0,14.0,0.0,9.0,6.0,0.0,70.0
316,62.0,21.0,0.0,5.0,1.0,0.0,56.0
317,98.0,9.0,0.0,4.0,1.0,0.0,53.0
318,53.0,21.0,0.0,6.0,2.0,0.0,8.0
319,48.0,13.0,1.0,5.0,2.0,0.0,9.0
320,153.0,11.0,0.0,6.0,1.0,0.0,51.0
321,56.0,30.0,0.0,4.0,1.0,0.0,0.0
322,21.0,12.0,0.0,3.0,1.0,0.0,33.0
323,117.0,26.0,0.0,5.0,2.0,0.0,1.0
324,86.0,24.0,0.0,9.0,1.0,0.0,21.0
325,56.0,10.0,0.0,7.0,2.0,0.0,54.0
326,32.0,13.0,0.0,3.0,2.0,0.0,13.0
327,19.0,29.0,0.0,4.0,2.0,0.0,24.0
328,28.0,23.0,0.0,3.0,1.0,0.0,9.0
329,50.0,30.0,0.0,3.0,2.0,0.0,1.0
330,77.0,14.0,0.0,11.0,2.0,0.0,30.0
331,26.0,19.0,0.0,4.0,2.0,0.0,36.0
332,61.0,12.0,1.0,5.0,1.0,0.0,22.0
333,48.0,19.0,0.0,5.0,2.0,0.0,46.0
334,54.0,15.0,0.0,6.0,2.0,0.0,43.0
335,20.0,12.0,0.0,3.0,1.0,0.0,17.0
336,59.0,32.0,0.0,5.0,3.0,0.0,38.0
337,40.0,16.0,0.0,5.0,1.0,0.0,52.0
338,68.0,22.0,0.0,8.0,1.0,0.0,25.0
339,82.0,117.0,0.0,3.0,2.0,0.0,30.0
340,34.0,12.0,0.0,2.0,2.0,0.0,21.0
341,65.0,16.0,0.0,4.0,2.0,0.0,12.0
342,27.0,20.0,0.0,4.0,1.0,0.0,184.0
343,115.0,10.0,0.0,5.0,3.0,0.0,36.0
344,26.0,16.0,0.0,3.0,1.0,0.0,1.0
345,75.0,6.0,0.0,3.0,2.0,0.0,5.0
346,27.0,18.0,0.0,4.0,2.0,0.0,10.0
347,46.0,9.0,0.0,4.0,1.0,0.0,1.0
348,51.0,36.0,0.0,5.0,1.0,0.0,21.0
349,38.0,13.0,0.0,4.0,2.0,0.0,25.0
350,45.0,9.0,0.0,3.0,2.0,0.0,1.0
351,35.0,15.0,0.0,4.0,1.0,0.0,8.0
352,49.0,13.0,0.0,5.0,2.0,0.0,2.0
353,147.0,14.0,0.0,17.0,1.0,0.0,32.0
354,65.0,16.0,0.0,8.0,2.0,0.0,19.0
355,114.0,28.0,0.0,3.0,5.0,0.0,30.0
356,30.0,20.0,0.0,4.0,2.0,0.0,1.0
357,79.0,13.0,0.0,4.0,1.0,0.0,1.0
358,59.0,13.0,0.0,8.0,3.0,0.0,0.0
359,35.0,25.0,0.0,3.0,2.0,0.0,6.0
360,108.0,20.0,0.0,7.0,3.0,0.0,1.0
361,29.0,18.0,0.0,3.0,1.0,0.0,9.0
362,145.0,15.0,0.0,3.0,1.0,0.0,36.0
363,20.0,8.0,0.0,3.0,1.0,0.0,12.0
364,23.0,20.0,0.0,3.0,1.0,0.0,15.0
365,124.0,13.0,0.0,11.0,1.0,0.0,12.0
366,34.0,14.0,0.0,4.0,1.0,0.0,47.0
367,22.0,24.0,0.0,3.0,1.0,0.0,53.0
368,55.0,34.0,0.0,5.0,2.0,0.0,28.0
369,67.0,27.0,0.0,5.0,2.0,0.0,10.0
370,152.0,24.0,0.0,3.0,3.0,0.0,16.0
371,37.0,22.0,0.0,3.0,3.0,0.0,27.0
372,54.0,15.0,0.0,4.0,4.0,0.0,27.0
373,72.0,11.0,0.0,4.0,3.0,0.0,6.0
374,20.0,15.0,0.0,3.0,2.0,0.0,39.0
375,147.0,23.0,0.0,4.0,3.0,0.0,3.0
376,32.0,11.0,0.0,4.0,1.0,0.0,5.0
377,23.0,27.0,0.0,3.0,3.0,0.0,30.0
378,61.0,17.0,0.0,4.0,2.0,0.0,33.0
379,99.0,28.0,0.0,10.0,1.0,0.0,21.0
380,65.0,28.0,0.0,7.0,2.0,0.0,81.0
381,29.0,18.0,0.0,4.0,2.0,0.0,1.0
382,83.0,28.0,0.0,9.0,3.0,0.0,10.0
383,17.0,22.0,0.0,3.0,1.0,0.0,4.0
384,55.0,16.0,0.0,5.0,2.0,0.0,110.0
385,111.0,12.0,0.0,3.0,9.0,0.0,53.0
386,27.0,14.0,0.0,3.0,3.0,0.0,29.0
387,241.0,16.0,0.0,3.0,2.0,0.0,39.0
388,212.0,18.0,0.0,8.0,12.0,0.0,51.0
389,95.0,39.0,0.0,5.0,2.0,0.0,0.0
390,31.0,14.0,1.0,5.0,2.0,0.0,29.0
391,27.0,25.0,0.0,3.0,2.0,0.0,1.0
392,47.0,17.0,0.0,5.0,1.0,0.0,49.0
393,37.0,12.0,0.0,4.0,1.0,0.0,5.0
394,83.0,12.0,0.0,5.0,4.0,0.0,85.0
395,85.0,17.0,0.0,8.0,2.0,0.0,1.0
396,67.0,20.0,0.0,4.0,2.0,0.0,184.0
397,168.0,42.0,0.0,7.0,4.0,0.0,21.0
398,391.0,23.0,0.0,6.0,1.0,0.0,12.0
399,67.0,20.0,0.0,8.0,4.0,0.0,10.0
400,24.0,23.0,0.0,4.0,1.0,0.0,62.0
401,57.0,8.0,0.0,4.0,1.0,0.0,7.0
402,259.0,17.0,0.0,6.0,5.0,0.0,45.0
403,27.0,12.0,0.0,3.0,2.0,0.0,6.0
404,62.0,21.0,0.0,5.0,1.0,0.0,1.0
405,109.0,12.0,0.0,4.0,3.0,0.0,5.0
406,35.0,18.0,0.0,4.0,2.0,0.0,48.0
407,515.0,19.0,0.0,3.0,3.0,0.0,10.0
408,97.0,10.0,0.0,7.0,3.0,0.0,0.0
409,32.0,13.0,0.0,4.0,3.0,0.0,31.0
410,75.0,27.0,0.0,4.0,2.0,0.0,11.0
411,38.0,20.0,0.0,4.0,1.0,0.0,57.0
412,61.0,42.0,0.0,4.0,2.0,0.0,21.0
413,65.0,11.0,0.0,7.0,1.0,0.0,36.0
414,32.0,9.0,0.0,3.0,2.0,0.0,1.0
415,64.0,10.0,0.0,6.0,1.0,0.0,17.0
416,38.0,13.0,0.0,3.0,3.0,0.0,34.0
417,37.0,20.0,0.0,3.0,2.0,0.0,30.0
418,36.0,37.0,0.0,5.0,1.0,0.0,30.0
419,119.0,18.0,0.0,6.0,3.0,0.0,28.0
420,168.0,13.0,0.0,7.0,8.0,0.0,42.0
421,32.0,19.0,0.0,4.0,1.0,0.0,14.0
422,46.0,19.0,0.0,5.0,1.0,0.0,9.0
423,56.0,18.0,0.0,4.0,1.0,0.0,23.0
424,66.0,20.0,0.0,5.0,2.0,0.0,61.0
425,83.0,16.0,0.0,5.0,2.0,0.0,35.0
426,59.0,26.0,0.0,7.0,2.0,0.0,1.0
427,101.0,18.0,0.0,3.0,3.0,0.0,11.0
428,58.0,15.0,0.0,5.0,2.0,0.0,1.0
429,187.0,22.0,0.0,8.0,5.0,0.0,21.0
430,71.0,18.0,0.0,5.0,2.0,0.0,15.0
431,51.0,18.0,0.0,3.0,3.0,0.0,1.0
432,21.0,11.0,1.0,2.0,1.0,0.0,6.0
433,46.0,27.0,0.0,3.0,3.0,0.0,7.0
